class, given_name, surname, street_number, address_1, address_2, suburb, postcode, state, date_of_birth, age, phone_number, soc_sec_id
384, sophie, bradshaw,9, frost place, , kingsfrod,3220, naw,19621114,36, 08 22772479,8502722
28,   sam, matthews,70, endeavour street, , eatons hill,4875, nsw,19361030,33, 03 24354288,6328834
24,   riley, innis,23, scaddan place, retirement village, lamington,5035, ,19290115, , 07 96350962,9790140
739,   riley, walls,1, montgomery place, , alfred cove,3079, sa,19850519,32, 03 60494675,3192219
137,   michael, hearn,9, , , hackham west,3025, vic,19611217, , 07 26206480,6778249
495,   ebony, ryan,30, maurice place, , sorell,3280, nsw,19160715,38, 07 89566477,1218556
572,   oliver, schuddebeurs,23, lobb place, , annandale,2230, wa,19760502,8, 08 50140698,4729671
636,   jamilla, browne,129, basedow street, zeevoo, wahroonga,2208, vic,19860710,24, 04 72930075,4561823
94,   hannah, ,16, rosella street, hyhopes, hamilton,3178, qld,19481218,20, 03 71823613,7591050
105,   darcy, balchin,92, moorhouse street, villa 3, cooloongup,2087, wa,19320511,25, 02 42036741,6986565
193,   sylvie, gallichio,82, honyong crescent, nazareth village, tathra,4815, sa, ,35, 07 85259206,2902589
792,   gianni, gibb,1, brinsmead street, , yinnar,2750, nsw,19930716, , 04 15432648,4620211
216, christian, niederkofler,55, , , moree,2259, vic,19891008,31, 04 51185006,9181923
336,   amy, bishop,37, ranken place, , nambour,3995, vic,19570630,27, 07 27928150,4910125
793, luk, campbrll,72, barangaroo street, , lavingtnon,2440, qld,19151028,22, ,6754138
0,   lochlan, kelley,32, laycock place, , warburton,2580, vic,19600918, , 03 31734703,2069880
277,   noah, wiseman,4, waller crescent, , st johns park,4575, , , , 08 52777525,5671374
623,   alexandra, noble, , hedland circuit, , lemnos,5118, wa,19040427,36, 04 12517958,3134624
112,   chloe, trowse,62, forbes street, yarrandale moonee, moonta,2126, nsw,19810520,28, 03 58646738,8908147
672,   benjamin, hobson,18, dirrawan garden, warraberry, worongary,4350, vic,19520719,40, 08 52655928,8908625
652,   sascha, hitchenor,22, john russell circuit, telooma, paddington, , vic,19711225, , 04 08683148,1936588
606,   adam, gilbertson,4, officer crescent, , point vernon,5540, qld,19670712,23, 03 62928758,7813795
36,   ewan, clarke,16, gardiner street, , ormond,5161, qld,19270725,22, 07 54371240,1738228
190,   heath, samprathi,1, andrea place, yalkara, toowoomba,3040, wa,19710704,27, 08 40216644,1129346
535, courtney, stanley,178, ovens street, mowbray, ,3942, nsw,19570525,33, 04 45396282,2802759
96, campbell, gilberson,10, ferguson circuit, lashbrooke, oak park,2006, wa, , , 03 45691946,9195755
637,   emiily, dizmanis,14, o'sullivan street, , canterbury,3200, wa,19520310,29, 02 37545532,8107512
697,   robert, beattie,29, burrinjuck crescent, wilpena, kings park,6355, nsw,19770302,24, 03 51938073,5386536
490,   ethan, bycroft,5, ardlethan street, , malvern east,6210, nsw,19771025,23, 08 74355859,3330993
423,   fiona, clarke,17, alli place, , cowell,2170, nsw,19200817,33, 03 97009216,9286582
56,   noah, manson,416, bural court, , ringwood,2030, nsw,19910308, , 04 02089038,7766219
521,   emma, sayagha,78, tallon place, menora, rosebud,3048, qld,19910329,21, 07 60946758,2911216
270,   samuel, stanley,269, jinka street, pinewood, sunshine north,2763, nsw,19060416,34, 03 84889083,3728638
736,   jayden, vainui,18, luxor, , witchcliffe,4556, vic,19441029,35, 02 19208065,1522877
242,   amber, orlovic,94, currong street, , rye,3220, vic,19831009,37, 07 84947638,7822482
50,   benjamin, mildren,48, findlay street, bolinda vale, smythes creek,4817, nsw,19790126, , 08 06093291,2864262
83,   dylan, ranson,18, whitty crescent, kareela, stratford,2204, sa,19110614, , 03 20643014,2625616
177,   lily, harrington,31, renny place, , st andrews beach,2031, nsw,19460731,22, 02 72417199,3263701
771,   erin, ang,16, holland street, sommerset park, acacia ridge,4350, qld,19910721, , 03 14841409,3081620
681,   christopher, dent,3, eppalock street, , woombye,6108, wa,19450218,31, 04 41966684,2805723
54,   alex, longo,517, debenham street, , mulgrave east,3182, qld, ,24, 08 14133091,3601975
355,   kaitlyn, webb, , kallaroo road, , woree,3350, vic,19500313,32, 02 68898198,3602255
510, liam, white,3, gordon place, , buronga,3150, qkd,19990919,35, 02 92384238,5472561
789,   daniel, deck,7, arabana street, , kirwan,2905, qld,19170303,24, 04 48814117,4496674
503,   isabella, green,206, santalum street, bosmit, hazelbrook,6018, vic,19851206,29, 03 24042562,6914486
243,   hannah, maynard,49, ipswich street, , sefton,4352, nsw,19380618,29, 04 48706160,9547076
478, timothy, mason,13, ijong street, , lakemba,3133, sz,19400478,32, 02 38188099,5142110
27,   brandon, white,54, hallen close, flt 167, boreen point,4570, nsw,19210419,9, 08 32140105,9909605
269,   emiily, paine,69, lumeah street, , airlie beach,5162, nt, ,28, 04 98324751,5947184
100,   ashley, mcauslan,1, totterdell street, pinnacles caravn park, cranbourne north,2260, qld,19500930,11, 07 46330468,5300644
106,   andie, apted,6, rolph place, kia-ora cottage, southbank,2440, qld,19100209,34, 03 70479165,3431044
504,   olivia, linnell,15, murranji street, , whitebridge,4714, nsw,19260918,31, 04 40985777,7576183
37,   zara, white,19, westhoven street, , knoxfield,2559, vic,19451129,37, 03 89881976,1783324
785,   brayden, skurr,2, jinka street, , beenleigh,2480, wa,19100224,29, 02 62898329,3407624
108,   joshua, worthington-eyre,91, callaghan street, murga ridge, balhannah,2219, wa,19010606,30, 08 11184228,7716410
474,   caleb, braithwaite,36, notting court, , lowood,2646, nsw,19371011,37, 08 39363651,9783101
163, , block,26, jansz crescent, northbank cwravan park, geraldton,2747, nsw,19880217, , 07 02969520,7802593
393, andew, kammermann,32, howarth place, , shoalwtater,2469, nsw,19610110,27, 03 59415787,1100550
769, jessica, callister,2, castlereagh cfescent, whylackie,3318, riverwood, vic,19661214,29, 02 36782234,7268497
139,   genevieve, coleman,18, daley crescent, , kurri kurri,2285, , ,8, 03 45510400,2959423
404,   mikhayla, zimmermann,18, banvard place, wallerwaugh, tea tree gully,2030, qld,19430818,33, 03 62704428,8370653
702,   stephanie, marris,52, mount vernon drive, , prospect,5220, wa,19240307,28, 04 99503172,2866007
388,   anari, green,22, meehan garden, gummy gully, yarraville,5062, nsw,19640213, , 02 63095252,6082634
573, brooke, rundle,43, revill place, , upper coomera,3041, say,19760629,24, 02 74137598,6295750
364, jarred, warnexe,2, waller crescent, kilvinton village, pakeham,6355, vic,19850827,40, 08 71084056,1071667
365,   caitlin, white,10, bandulla street, , dapto,2104, ,19620303, , 07 59145959,1347617
128,   samuel, schmitzer,405, allambee street, , mosman,2785, vic,19410113,33, 08 98735629,6258983
125,   oscar, kingsley,58, favell place, , parap,2017, sa,19810217,9, 03 70525476,6212391
261,   isabella, etherington,195, lander crescent, , ringwood north,5162, nsw,19530722,29, 08 83977530,1668178
107,   connor, fenwick,19, boronia drive, , coromandel east,2291, sa,19970207,27, 03 75821830,4624442
499,   paris, cirelli,30, chave street, , , , nsw,19760301,25, 02 98962505,2824434
615, peyt on, matthews,27, medley street, carrington retrmnt vlge, cremorne,2001, nsw,19430919,31, 07 63662198,2646683
317,   kyle, white,16, goodparla street, , ascot park,4740, vic,19550221,27, 04 72981468,8880053
169,   samantha, nguyen,2, woollum place, lamont park, salisbury heights,5096, wa, ,24, 08 34056124,7506814
221,   tasman, cruickshanks,6, beazley crescent, , portarlington,3149, nsw,19130403,33, 08 08274366,8860993
674,   samuel, lowe,37, wambool street, sunbright orchard, kirribilli,4573, wa,19050923,22, 02 75452913,7910472
312,   isabella, eke,27, walker crescent, munjal, rochedale south,4350, nsw,19440616,26, 08 69074510,5886702
375,   nicholas, white,16, la perouse street, , maribyrnong,5049, nsw,19530412,28, 04 85059581,4115871
136, bianca, campblel, , angas street, , lilydale,3976, ww, ,9, 07 24898440,5148659
453,   angus, white,375, edgar street, begonia court, hammondville,2229, nsw,19321116,10, 03 17664238,8102784
608,   sophie, paterson,192, nunan crescent, , hocking,2046, nsw,19460305, , ,2653280
786,   ben, costigan,20, wilkinson street, , spotswood,2325, vic,19480711,29, 02 81941992,9239861
4,   emma, matthews,4, ella close, , ferny creek,4051, qld,19561209,28, 04 39919441,4313461
337,   keira, huxley,23, wedgewood close, , carlingford,4078, sa,19640224, , ,2689140
477, heatg, sherriff,105, betche place, rosehill, maydena,2530, nsw,19961217,22, ,2098706
316,   jack, musolino,36, brough place, , brighton,3216, vic,19410802,29, 03 27760673,1251792
596,   monique, grierson,13, mcculloch street, , corrimal east,3357, wa,19100408,35, 03 12633560,7336759
678,   mitchell, aimes'emery,26, , bonny farm, crookwell,2131, nsw,19780713,21, 02 56580153,1379927
535,   courtney, stanley,179, ovens street, mowbray, gordonvale,3942, nsw,19570525,33, 04 45386282,2802759
580,   alexander, jobbins,129, springvale road, , mathinna,4550, nsw,19730809,11, 04 22408260,2844522
263,   brooke, van neutegem,10, , drumwood, nambour,3056, nsw,19501107,21, 04 35802181,3239797
163, , block,26, northbank caravan park, william wilkins crescent, geraldton,2747, nsw, , , 07 02969520,7805293
363,   schkirra, claydon,609, , , ,4562, wa,19261106,25, 02 80361830,6010272
394,   thomas, campbell,1, rollston street, , magill,2075, qld,19621107, , 04 76269428,5859068
578,   philip, bendyk,20, tauss place, , ,2750, qld, ,9, 04 91471611,8038102
127,   madeleine, compton,94, bindiri place, , conder,4174, nsw,19020105,27, 03 05140864,3734277
260,   emerson, kaspar,32, spalding street, , kingsford,4860, vic,19981221, , 03 33957845,1672211
410, daniel, stubbs,9, maribyrnonqg avenue, rockleigh cottage, padsgow,2075, nsw,19300521,9, 08 97228512,9259759
704, rhyd, zogopoulos,25, gellibrand street, , wangaratta,5006, nsw,19907708,7, 02 22732464,4669540
788,   paris, grainger,11, shackleton circuit, , leinster,4511, sa,19560413, , 02 06847129,6228518
436, ma, chawla,36, paul coe crescent, , diggers rest,2066, qfd,19240717, , 03 86439350,6454678
403,   dante, ,26, edwell place, , lobethal,3284, ,19600425,37, 04 27036797,3147248
494,   yasmin, pryer,3145, kingsford smith drive, palm lake resort, ,4215, sa,19790424,36, 02 80954777,2252538
659,   connor, gilfedder,87, university avenue, , brighton-le-sands,5161, nsw,19450831,33, ,2554247
765,   barnaby, pcpeake,454, sirius place, surfers hawaiian, ,2086, qld,19570801,30, 08 50289052,2839301
756,   sebastian, sprogis,87, kosciusko avenue, taranna house, broome,2477, nsw,19370418,26, 02 00573440,6714162
501,   emiily, guymer,35, murrell place, , coolaroo,5117, ,19170818,28, 08 16784605,8423090
601, mel, robson,335, stacy street, , woollhra,3977, vic,19120214,9, 07 59946341,3164754
292,   wade, vincent,2, henty street, eureka, beaudesert,3995, vic, ,34, 04 97518974,7119433
196, logan, campbwll,48, hobby place, , westlake,5700, nsw,19090427,33, 04 70185420,6387137
85,   andrew, reid,87, mackay crescent, , mackay north,3181, qld,19560204,12, 08 21607184,6179799
72,   jack, clarke,55, deamer crescent, eureka, broken hill,2250, qld,19201003,32, 03 51435637,4042223
140,   phoebe, howie,2, bertram street, , padstow heights,2259, vic,19120915,7, 03 26802480,4569861
525, eliza, trimhle,64, tregear close, brookton house, norwood,3078, vic,19331223,25, 07 34502134,4399918
204,   jessica, evison,38, neeld place, , para hills,2061, ,19020322,21, 08 56418327,1596384
747,   alexander, friebel,1, buvelot street, , waverley,4118, wa,19520130,28, 08 02580556,6006303
19,   chantelle, luckman,17, eleanora street, , meningie east,4565, nsw,19291210, , 03 79156607,2000470
96, campbell, gilbertson,1, ferguson circuit, , oak oark,2060, wa, , , 04 90153801,9195755
762,   caleb, ho,97, ingram street, tinsdal, alfred cove,3181, vic,19030103,26, 04 72739475,9434069
654, gillian, dixoni,33, duffy street, , yaroomba,2551, nsw,19320717, , 07 17844136,4274156
292, wade, vincenj,2, henty street, eureka, beaudesert,3995, vi, , , 04 97518974,7119433
420,   christian, petersen, , barwell place, , angaston,2533, wa,19400225,35, 03 51034456,3785435
704, rhys, zogopoulos,24, gellibrandxstreet, , wangartta,5006, nsw,19970708,7, 02 22732464,4669510
491,   samuel, neumann,9, fairbridge crescent, , condell park,3020, qld,19540505,27, 02 35733208,5704871
364, jarred, warneke,2, crescent waller, nedlyn, ,6355, vic,19850827,40, 08 71084056,1076167
700,   jairus, stubbs,1, booth crescent, kayannie, condon,2795, tas,19210920,30, 02 87805585,9331615
759,   ethan, thorpe,2, enderby street, sunshine coast private hosptl medcl cent, mossman,3936, wa,19081129,31, 07 25905253,3489043
55,   mitchell, reid,2, chuculba crescent, , moorooka,2880, ,19110314,32, 08 85757463,8033142
120, thomas, ,84, kelleway hvenue, , marmong point,5082, vic,19650426,25, 07 42850684,5593843
138,   joshua, bishop,174, tennyson crescent, triton units, charlestown,4551, nsw,19080502,34, 02 59892602,8264617
20, ells, huddh,20, mcwhae circuit, , the narwows,2067, ,19940904, , 04 94806518,9310504
304,   todd, grosser,16, cowper street, , wattle glen,6026, vic,19900406,36, 03 42450013,6234602
47,   stephanie, lette,9, paul coe crescent, , dural,3054, ,19481208, , 07 80338766,8645516
754,   thomas, maziakowski,30, bingley crescent, , eaglehawk,6065, nsw,19780517,25, 04 99642109,2959817
131,   madison, vinaev,7, henry street, lindsey rise, fairlight,4814, ,19700305,11, 08 06589451,8614445
239,   jayde, laverty,4, rivett place, , campsie,3085, vic, , , 02 15727315,5235794
634,   cassandra, wolfenden,52, bugden avenue, , florey,4745, vic, ,29, 04 84942792,3576549
738,   caitlin, noble,83, disney court, , wyong,3351, ,19340314,23, 03 19829893,5671465
61,   robert, ,39, lachlan street, brentwood vlge, melton south,3162, sa,19980619,24, 04 12219589,9663414
168,   bianca, matthews,20, brisbane avenue, bukkulla, hillston,6154, qld,19421209,30, 03 58242581,7938442
339,   ashlee, coffey,23, paul coe crescent, , port macquarie,4035, qld,19190214,23, 08 17964999,5900242
73,   alexandra, lock,14, elimatta street, , scarness,3765, nsw,19930814,31, 02 93313784,1070335
552,   jed, spong,9, maughan crescent, chateau tahbilk, dianella,2025, vic,19390912,28, 07 15752335,1296426
213,   joselyn, humphreys,33, , , ,4737, vic,19800507,31, ,3646294
398,   kailey, bennier,23, tenison-woods circuit, , wundowie,4551, qld,19780726,29, 07 11082311,3969444
614,   tyler, zilm,15, hurtle avenue, oatley, parndana,4223, qld,19780721,26, 07 50641705,4460044
77,   joshua, maczkowiack,20, emery street, , abbotsford,5452, sa,19460507,12, 08 38574728,5338691
708,   michelle, bibby,16, vasey crescent, , parkville,2515, vic,19700225,31, 08 53209518,6864977
249,   lauren, madigan,47, mcdonnell close, pt sec 500, chisholm,4869, vic,19660919,25, 08 38656672,8345858
653,   griffin, afford,171, cockburn street, calingiri wongan, canley vale, , nsw,19660926, , 02 95430947,3959255
383,   michael, grillett,7, hicks street, dunmunkle lodge, albany creek,3228, vic,19960818, , 04 07668266,8714212
705,   lucas, bishop,12, marlock street, , asquith,2360, sa,19401112,11, 04 29803414,8575779
157,   sam, clarke,30, dungowan street, , mosman,3911, nsw,19771021,44, 04 43391104,6817238
91, tyrone, morrisln,5, mortimer leis drive, , spring hill,3006, sa,19571116,32, 02 69036490,7211524
436,   mia, chawla,36, paul coe crescent, , diggers rest,2066, qld,19240717, , 03 86430350,6454678
222,   adam, campbell,9, burkitt street, warrumbungle, burwood east,3049, ,19620303,22, 07 40316283,2209534
340, madeleine, thorpe,19, white crescent, brentwood village, paraburdoo,2343, nsw,19440332,34, 07 91659221,2438570
541,   jarrod, berry,31, o'loghlen street, , oakwood,2659, ,19630628,33, 08 46107185,2963365
122,   andrew, feeley,32, collocott crescent, old kelvin grove, freshwater,3073, vic,19761231, , 04 38550888,1063356
794,   dylan, caire,12, harper street, macsview, ingham,2390, vic,19960208, , 03 24189750,7384690
698,   montana, white,9, kurrama crescent, , roselands,3106, qld,19540216,23, 04 81795535,2916833
524,   lani, ,8, denny street, , lalor,832, qld,19171209,40, 02 91576883,1483929
292, wade, vincent,2, henty wtreet, eureka, beaudesert,3959, vic, ,13, 04 97518974,7119433
20, ella, hudyd,23, mcwhae corcuit, , the narrows,2067, ,19940904, , 04 94806518,9310504
449,   riley, atsaves,29, martin street, , guilderton,3885, sa,19640208,21, 02 60286953,3489563
644,   riley, white,5, pearson street, sherwood, colston park,4510, nsw,19360427,26, 04 43542347,7311876
374,   annabel, campbell,4, paul coe crescent, , woodburn,4380, qld,19340121,33, 04 09649753,8091998
35,   jye, ho,337, bettington circuit, quinden, toowoon bay,3717, nsw,19640317,21, 02 88428684,8819704
488,   joshua, stubbs,34, halford crescent, ashgrove farms, ballan,2146, qld,19881101,28, ,6246912
404, mikhayla, zimmermann,19, banvard place, wallerwbaugh, tea treeg ully,2030, qld,19430818,33, 03 62704428,8370653
687,   abbey, narracott,106, burtt crescent, rocky bend, worongary, , ,19540817,31, 02 41340585,7561965
117, benjumin, hawes,43, tallara parkway, dunmoven, toowoomba,2710, vic,19871021,27, 07 15425607,9455935
436, mia, chawla,38, paul coe crescent, , diggers rest,2064, qld,19247017, , 03 86430350,6454678
167,   makenzi, spuzic,6, forbes street, , toowoomba,2530, nt,19010825,23, 08 06287343,5556184
516,   amber, mendrin,15, arthur circle, , dimbulah,4507, vic,19970125,30, 02 54870143,5061998
449, riley, atsaves,2, martin tsreet, , guilderton,3858, sa,19640208,21, 02 60286953,3489563
750,   leo, nekoee,246, scrivener street, , lansdowne,2582, nsw,19880910,36, 03 67895453,7462933
611,   angelica, burford,395, corroboree park, settle downs, samson,3041, nsw,19691003,31, ,2417290
507,   sophie, wieloch,18, werriwa crescent, , gunn,3550, nsw,19540518,31, 08 29512292,5180003
696,   liam, campbell,72, bunduluk crescent, , salisbury east,4737, vic,19240209,26, 04 92093868,6641373
330,   ellie, dugec,65, baldwin drive, pine leigh, kotara,2095, tas,19031014,22, 07 81060190,9453112
746,   joel, mccarthy,18, bolger place, , penshurst,4159, sa, ,37, 08 76931753,8752994
244,   brooke, eyles,6, haines street, spring banks, palmerston,4820, nsw,19160128,20, 08 64971838,9315124
730, montana, george,733, caddy place, , altona meadows,2710, w,19070922,41, 04 66469086,3468413
686,   taylor, godfrey,6, hugh mckay crescent, rose-lea, morwell,2747, vic,19181226,20, 08 75855486,8935286
329, , ryan,31, carruthers street, , belroes,2450, vic,19900227, , 08 61065147,7955961
372,   lachlan, clarke,13, piddington street, valley fair, thornlands,3207, act,19581124,28, ,3351938
40, luke, graue,107, radcliffe street, , coombabah,5112, qod,19980037,28, 03 20143153,9044521
723,   ruby, paine,32, sharwood crescent, statue bay, ballarat,2164, ,19620131,34, 02 18386700,1688927
371,   james, herbert,158, soutar place, , ashfield,5068, ,19711009, , 02 01933395,6133647
328, danie, varcoe,38, bertel crescent, , mermaid qaters,2611, qld,19730806, , 04 13802649,3608650
402,   jordan, campbell,32, pohlman street, highpoint, flemington,6168, vic,19730121,29, 07 76376046,1982137
240,   emiily, turnball,7, jukes place, , sadliers crossing,6317, ,19790724,27, 08 13413559,9315828
766,   evan, lock,30, , carrington garden, launching place,2000, ,19191116,10, 07 45499395,6371118
386,   oliver, egan, , wrixon street, , jingili,5043, wa,19561016, , 03 81602936,7806622
467,   polly, berry,33, willis street, st johns terrace, bundaberg,2287, nsw, ,32, 02 05571263,9363672
537,   coby, de boar,9, proctor street, , wingham,2747, vic,19010316,36, 07 70261198,7103019
95,   bertie, pascoe,407, chifley place, , ottoway,2429, nsw,19801025,28, 08 37164256,5861075
116,   chloe, mason,18, henry melville crescent, , belmont north,2142, qld, ,36, 03 72524543,2095339
38,   lachlan, manos,28, maribyrnong avenue, recreation camp, parkdale,4012, nsw,19380402,12, 03 85626100,1895711
559,   trey, whiteley,185, , , roleystone,2250, wa,19101103,8, ,6045406
110,   , salt,13, vonwiller crescent, , korora,5019, nsw,19250930,24, 07 79384980,5077875
670,   monique, dessart,226, whitelegge close, , dingo beach,3199, vic, ,25, 07 84371623,3675113
418,   jordan, linnell,54, salmond street, masonic retirement village, currans hill,3140, nsw,19850528,35, 04 61589523,4121649
132,   alissa, webb,198, robertson street, , parramatta,2325, nsw,19690126,25, 08 89141048,9038584
419,   matthew, allanby,15, alabaster street, mlc centre, labrador,5015, vic, ,37, 02 70369113,3576662
321,   vianca, laing,13, hannan crescent, hse 4, two rocks,2117, nsw,19070618, , 03 92417220,5646676
600,   , godfrey,3, ainslie avenue, , queenscliff,7469, qld,19221229,7, 08 99636605,4498240
111,   hamish, green,28, , , rochester,6112, nsw,19810331,27, 07 99966853,2682016
778,   william, mcvicar,40, keys crescent, , maya,4505, vic,19810316,26, 02 09215579,3386789
353,   sam, loosmore,77, chewings street, , deer park,4215, nsw,19810224,32, 07 35536380,1874905
437, angua, petersdn,3, grover crescent, , mount evelyn,4285, wa,19260496,39, 04 38506676,6039586
359,   mitchell, van de kamp,22, beadle place, , eastwood,3786, nsw,19690205,35, 03 95099357,2597240
214,   blakeston, steed,14, starke street, , wanneroo,2541, qld,19111203,34, 02 12908094,8839882
14, hamish, cassilles,6, somerville street, reddestone, toormina,3187, sa, ,34, 04 44743360,5835080
1,   annabelle, lodge,6, carslaw street, st francis vlge, panorama,2540, ,19450212, , 07 70011205,2992395
626,   sophie, leonardos,39, faithfull circuit, , hamilton,2257, ,19201118,25, 07 77526486,7545313
6,   kylee, van galen,84, annand place, , mosman,4655, wa,19140116, , 02 76402992,8456137
586,   charlie, dakin,85, delegate street, , toowoomba,5114, qld,19800109, , 07 17558911,8816429
170,   ellen, mckerlie,53, winser crescent, , batemans bay,4818, nsw, ,39, 08 30772311,2347043
621,   brigette, moreira,13, mccabe crescent, mntn farm, umina beach,3167, nsw,19770508,24, 08 83136812,9091615
715,   meg, sherriff,23, , , labrador,2116, nsw,19461219,31, 08 55629706,1415962
739, riley, walms,6, montgomeryzplace, , alfred cove,3079, sa,19850519,32, 03 60494675,3192219
758,   matthew, lipscombe,88, shenton crescent, brentwood vlge, tweed heads south,5171, , ,32, 08 00218679,1083569
319,   joel, nirta,12, torrens street, john paul nursing, wundowie,6018, vic,19210104,25, 07 56944041,2826598
457,   jacob, spratt,10, ashby circuit, , harbord,3400, qld,19950324, , 03 00712802,3134365
298, abigail, masin,63, tenison-woods circuit, , greenwood,2210, vic,19840315,28, 02 60665734,5935207
396,   kaitlyn, white,14, bellinger circuit, , hammondville,3373, nsw, ,32, 08 10686527,4577157
635,   zachary, ryan,21, astrolabe street, , riverhills,2340, qld,19951129, , 03 27125031,2677940
436, moa, chawla,36, paul coe crescent, , diggers rest,2066, qld,19240727, , 03 86403350,6454678
538,   lily, tuckwell, , biggs place, , st albans,3216, wa,19920910,23, 08 18399570,3804274
417,   thomas, mason,515, temperley street, , bundaberg,2131, nsw,19150410, , 03 25526347,4720948
489,   harry, verco,23, ferdinand street, boxwood hill, kununurra,3043, qld,19891231,29, 07 62050915,1142119
86,   cameron, stephenson,33, boddington crescent, , cabramatta, , ,19201228,32, 08 15981901,3778448
742,   harriet, paterson,23, lyrebird place, shadyside, ascot vale,3936, qld,19210212,12, 07 90207252,1801696
201,   edward, sherriff,49, furneaux street, , deer park,3305, wa,19951003,9, 08 31757565,9146673
603,   yasmin, frahn,44, warrumbul street, , doubleview,2258, sa,19990317, , 07 81113235,5575455
509,   sana, mason,20, theodore street, , willagee,7017, nsw,19360116,38, 03 60451937,9985780
39,   michaela, cookson,76, treacy place, , pascoe vale south,3350, vic,19750309,29, 02 04646375,7448061
690, charlie, alsteo,162, lapsley street, cressy grove, hay,2032, qld,19577010, , 03 78503396,3199935
148,   jacob, angie,75, fullagar crescent, north road, strathalbyn,3148, qld,19780317,27, 02 43059999,6165845
434,   hayden, papandreou,231, william wilkins crescent, rockedale shopping vlge, bonython,2162, qld,19160821,29, 07 37535317,9102021
448,   eboni, millar,42, traeger street, yurnga, dulwich hill,4210, qld, , , 04 67296759,6814638
229,   makayla, van caspel,15, hansen circuit, , frankston,3250, wa,19250416,30, 03 80372107,8773899
510, liam, white,36, gordon place, , buronga,3510, qld,19990919,33, 02 92944238,5472561
370,   xepheren, neville,33, ijong street, hosea mizpah, west wollongong,2205, vic,19791010,22, 08 73319878,5704416
667,   schkirra, robson,3, clive steele avenue, mirrimbah, gorokan,4164, sa,19520306,25, 07 76464667,7929755
699, jayden, wiseman,323, davidsov street, , south perth,3073, qld, ,34, ,9612038
779,   harriet, manson,122, , , st agnes, , qld,19880628,23, 02 07623924,3379474
626, sopmie, leonartdos,39, faithfull circuit, , hamilton,2257, ,19204118,25, 07 77526486,7545313
455, jasper, priext,7, namatjira drive, , bungoia,2077, qld,19078006,34, 02 64919729,2595504
399,   macy, clarke,120, hallstrom circuit, wisteria cottage, bundaberg,3206, nsw,19860725,30, 02 18835909,4252109
711,   tiffany, campbell,10, cockcroft avenue, mervingle hill, moonah west,4703, qld,19410319, , 04 82639305,4591499
593,   daniel, berry,26, richardson circuit, , sandgate,3818, ,19490322, , 07 94075711,1258158
757,   skye, meaney,70, dalley crescent, , eastwood,4503, vic,19130308,32, 03 35003356,5006570
609, hayley, elphick, , , , ,3071, wa, ,27, 03 91796424,1446197
640,   imogen, bevis,1, hannan crescent, old mcdonald farm, boronia heights,4350, nsw,19020706,23, 07 86808428,5977950
405,   erin, ,7, hallen close, kookaburra village, south wentworthville, , qld,19900511,24, 07 24015592,5064649
520,   ethan, reid,418, mackenzie street, , carnegie,2334, vic,19220718, , 03 30118353,4740286
264,   bailey, shelley,7, dooring street, harbour town shopping centre, mentone,6324, nsw, ,38, 03 39904074,8818261
49,   calvin, nguyen,13, moncrieff street, , crows nest,2043, vic,19890225,24, 08 98206860,3127171
684,   keely, miles,7, rafferty street, , cowra,4722, vic,19750903,41, 04 53590505,7064259
30,   eliza, collinson,38, mcclintock street, , jindalee, , qld,19721017,27, 03 72931289,1542551
